Sample_ID,Treatment,Leaf_Area,Chlorophyll_a,Chlorophyll_b,SPAD,Photosynthesis_Rate,Yield,Total_Chlorophyll
44,Treatment_C,23.494481522053555,6.395445461556762,4.7689765224724345,28.549136515241393,14.286553503519453,2347.917047388661,11.178516162158619
45,Treatment_C,17.607390048162863,7.677428576667982,7.445064193866482,33.11227253684227,24.3991001239688,2358.688508314503,14.987473129090692
46,Treatment_C,21.400778958026457,8.808101713629076,6.619171390404747,39.35580238786947,12.143736601432494,2569.614981207291,15.614128083738073
47,Treatment_C,22.696806145201062,11.77237180242106,7.233090239991735,35.25712007638185,17.54464471489325,2065.5746975508027,18.685175913598016
48,Treatment_C,30.285611131094576,8.349155625663679,8.845189473980922,30.689020888282776,19.76495161945373,2077.7608676870336,17.151631254138213
49,Treatment_C,26.71809144784231,8.515100781445529,5.631917825995695,32.138785162960126,18.842975603205097,2284.466733624269,14.183107296954793
50,Treatment_C,16.18479922318633,7.851108168467666,4.869395753463765,37.7183909957387,16.13190144053822,2435.965854486446,12.874835572149056
51,Treatment_C,26.620419846973974,4.1624575694019175,4.665728355561715,32.07853347313145,17.375633248928175,2593.2722696794012,9.0416703883903
52,Treatment_C,23.074588597918417,7.946972249101567,4.776284572551843,35.8658343583279,16.5209971960235,2942.6068650848656,12.385864194102048
53,Treatment_C,21.615389998470206,8.120460419882052,5.884347435878844,35.18228735961525,16.231905729167366,2757.297886960606,13.54457360454021
54,Treatment_C,28.05838144420434,12.926484224970572,6.511727962224966,32.393598609576735,20.548806291063073,2452.018441010972,19.82151523376509
55,Treatment_C,30.154997612479754,7.615278070437755,6.415036198995028,43.5757763573013,19.071046457895143,2494.2951376291935,14.13000847302666
56,Treatment_C,29.656400595580994,8.603094684667225,7.240774873554036,37.535676089272044,15.921271214218038,2199.2411906086572,15.619323597254295
57,Treatment_C,20.803912383886807,7.9305764605895135,6.0195028378168605,26.899429653369573,20.698799626299753,2494.446059202283,14.41542489106313
58,Treatment_C,23.453938120743928,5.6626439247609355,8.180301115735976,35.74581725907771,18.921898562629828,2413.4024083239583,13.87764743078477
59,Treatment_C,26.65631715701782,10.285645629030041,5.603014750143066,32.352854140926446,20.43858635651688,2596.815568101427,16.242449534392254
60,Treatment_C,29.877725635611796,9.503866065373549,10.080253749884427,38.409733339184896,19.888886525770836,2251.830716934303,19.60437535968101
